project_name,bera_amount
@eatsleepyeet,359184.57
@KodiakFi,348922.16
@ramen_finance,147778.80
@Dolomite_io,139568.86
@KingdomlyApp,139568.86
@BeratoneGame,113297.08
@DapDapMeUp,113297.08
@HoldstationW,113297.08
@beraborrow,107632.22
@deek_network,101967.37
@goldilocksmoney,101967.37
@grandconquest,101967.37
@ivx_fi,101967.37
@origami_fi,101967.37
@rootsfi,101967.37
@Berajibears,96302.52
@Pumpbtcxyz,96302.52
@WizzwoodsGame,96302.52
@beradrome,96302.52
@HoneyChatApp,88667.28
@BeraBoyzGG,41049.67
@BeraRoot,41049.67
@SemanticLayer,41049.67
@LodeTrade,41049.67
@NAVFinance_,41049.67
@SmileeFinance,38997.18
@Berally_io,38977.18
@Beramonium,36944.70
@beraplug,36944.70
@beratardio,36944.70
@bgtmarket,36944.70
@honeydotfun,36944.70
@honeypotfinance,36944.70
@JunkyUrsas,36944.70
@Onikumagame,36944.70
@ProdigyFi,36944.70
@TwinFinance,36944.70
@WeberaFinance,36944.70
@beradottv,35892.22
@BeraVote,34892.22
@Polarityfi,34892.22
@ZooFinanceIO,32839.73
@bebop_dex,16419.87
@BetBitX,16419.87
@tierra_io,16419.87
@beebribes,14777.88
@beracana,14777.88
@ForestBear_io,14777.88
@grizzyfi,14777.88
@MantisSwap,14777.88
@2p2eio,14777.88
@stryke_xyz,14777.88
@valhallanft,14777.88
@WasabeeFi,14777.88
@Berabot_,13956.89
@JumperExchange,16691.763
@0xAstra_xyz,0
@1dfx_io,0
@MIM_Spell,0
@ambient_finance,0
@aori_io,0
@apiaryfi,0
@aqua_bera,0
@ArbitrageBera,0
@azex_io,0
@bakelandxyz,0
@beararenagame,0
@Bedrock_DeFi,0
@beranames,0
@berahorses,0
@berapoker_,0
@0xBeraPaw,0
@BeraPong,0
@BerawarFun,0
@BlockChain_lol,0
@Bonzi_fi,0
@BullaExchange,0
@TheBullas_,0
@moneygoesburr,0
@Curvance,0
@D2_Finance,113297.08
@d8x_exchange,0
@dinero_xyz,0
@DiracFinance,34892.22
@Ensofi_xyz,0
@eulerfinance,0
@Exponents_Fi,0
@Fable_Platform,0
@_Fortunafi,0
@FungifyNFT,0
@GummiFi,0
@thehoneystation,0
@Hyperplex_xyz,0
@InfraredFinance,0
@irys_xyz,0
@KiloEx_perp,0
@MarginalDEX,0
@memeswapfi,0
@Moby_trade,0
@Moonringai,0
@narralayer,0
@NOMEprotocol,0
@0xoogabooga,0
@outpostsurge,0
@OverlayProtocol,0
@pepino_casino,0
@PositionsFi,0
@pretzelbuild,0
@prime_protocol,0
@reservoir_xyz,113297.08
@rocketlaunchfun,0
@CryptoRubic,0
@SiloFinance,0
@SOFAorgDAO,0
@stackingsalmon,32839.73
@Stake_Stone,0
@sudoswap,0
@SumerMoney,0
@superformxyz,0
@StadiumScience_,0
@0xhoneyjar,0
@stellaxyz_,0
@UnderWaifusTCG,0
@union_build,0
@ursafinance,0
@VaseFinance,0
@Wagmipad,0
@YieldNestFi,0
@Yummy_Fi,0
@zerufinance,0
@ZNSConnect,0
@zothdotio,0
